observation1, observation2, generated hypothesis, real hypothesis
Leo showed me a trick at movie theaters last week.,It smelled fresh and I was glad someone had been so wasteful earlier!,I tried to hide a mouse in the popcorn. I made a mouse trap. i had to make a mouse trap,He said people leave things behind. We found sanitiser!.
Tom saw a friendly dog while walking through the city.,He took home a great dog and made a new best friend.,Tom went to the animal shelter to find a dog. He decided to adopt a dog. So he went to the animal shelter,The dog was malnourished.
Lily's favorite doll broke.,Finally the doll came back in perfect condition.,Lily's doll was stolen one day. Lily couldn't find the doll. She had to buy it,Lily's parents took the doll to a toy shop.
Rick played saxophone in the marching band.,Rick now plays the trombone.,Rick got a band membership. He practiced every day. He practiced for a week,Rick bought a trombone.
Jim went to the beach.,Jim was angry at his sister.,Jim's sister didn't go to the beach with him. Jim's sister didn't want to go. Jim's sister didn't want to go,Jim's sister ditched him.
Schmidt had to take the bus to work.,He got written up at work.,He was late for work. and was late for work. and was late for work,Schmidt missed his stop was late to work.
When Marlene graduated she went to work for her Uncle in California.,Now Marline works as a maid at the hotel down the street.,Marlene's uncle took her to a hotel for a job. Marlene worked hard. i worked hard,Her Uncle owned a hotel.
People shook their heads because Stu wouldn't buy a car.,Stu rode his bike to visit them at the cemetery regularly.,Stu was shocked at how poor people could be. So Stu didn't have a car. stu wanted to ride a bike,Stu's parents were killed in a car accident.
I recall the one hit I got in Little League,I made it to first just in time not believing what I'd finally done.,I hit the home run winning the game for my team. I was determined to win. I worked hard to win,I was very excited about the accomplishment.
Frankie had Christmas shopping to do.,She paid and took her things home.,Frankie's mom took her shopping. i bought a lot of stuff. i went to the store,Frankie went shopping and picked out some gifts.
Billy and Rob were angry at each other over a proposed trade.,Not wanting to be known as a cheater Billy is out to confront Rob.,Rob told Billy he was a cheater. they disagreed about the trade. They disagreed about the exact subject,Rob told people that Billy cheated him in the trade.
I used to have this girlfriend who was so needy.,After a few months I ended up breaking up with her.,I wanted to get her back. I wanted to get her a job. I wanted to get her a job,My girlfriend wanted to be with me all the time and would never let me hang out with my friends.
The cat chased the mouse across the empty warehouse.,The cat decided to lay down and take a nap.,The cat got tired of chasing the mouse. The mouse ran into a shed. The mouse was chased by a cat,The mouse was too fast for the cat.
Luke's grass in his yard was growing fast.,Now Luke's yard is always well maintenanced.,Luke planted some grass. on the lawn. on the lawn,Luke bought a new lawn mower to trim his lawn.
I drove my motorcycle across the street.,I changed the wifi password to enhance security.,I got a call that my bike was being stolen. I was in a hurry to get there. I was in a hurry to get there,Across the street was a bar where I drank too much and told all the patrons my wifi password.
Robert was planning on having a nice dinner with his girlfriend Kate.,However she lied to Robert and told him she loved it.,Kate told Robert she was having a bad time. Robert asked Kate to dinner. Kate said she was sick,She didn't really like it.
Justin was carefully finishing his watercolor painting in art class.,Justin was sad but decided to be kind to Laura.,The painting was a big hit amongst the friends. he made a painting and it was a hit. he made a painting and it was a hit,Laura made a rude comment about his painting.
Maureen notices that she is having trouble seeing things far away.,Maureen is happy that she can see well again.,She went to the doctor and got some medicine. She went to the doctor. She went to the doctor,She went to the eye doctor and got glasses.
Neshay was making her famous chicken dinner for her boyfriend.,When he finished her told her it was the best he ever ate.,Neshay's boyfriend loved chicken. She tried to make a new recipe. So she made a new recipe,He was excited to eat it.
I always wanted fancy socks.,I was ashamed of what I had done.,I went to the mall with fancy socks. I didn't have any fancy socks. I didn't have any fancy socks,I bought a pair of socks I thought were really fancy but looked very ugly.
Neil loved the Middle East.,He found Bahrain was every bit as lovely as he had dreamed!,Neil decided to travel to the Middle East. Neil decided to travel to the Middle East. Neil decided to go to Saudi Arabia,Neil saved up for a two week vacation and visited the entire area.
Lucy and her grandma went to Walmart.,It wasn't what she wanted but it was better than nothing at all.,Lucy's grandma was upset with her purchase. Lucy wanted to buy a new dress.  buys a new dress,Lucy's wanted candy but her grandma bought her an apple.
My flight to Korea was today.,I realized that this place is a little different from my home town.,I went to visit my old home town. I was nervous to go there. I was nervous to go,When I got there I knew none of the language.
Tess wanted to make her family pizza for dinner.,She ordered a takeout pizza which her family loved!,Tess made her own crust. Tess decided to make a pizza. Tess was a great cook,But her oven was broken.
Karen didn't have a boyfriend for Valentine's Day.,Her brother's thoughtfulness made her Valentine's Day special!,Karen decided to make a special Valentine's Day card. She wanted to make a special card. So she made a special card,Karens little brother handed her a box of chocolates.
Dana's son had some homework.,They finished the worksheet quickly.,Dana's son asked his parents for help. He worked hard on his son's homework. So Dana's son asked for help,Dana's son was working on a worksheet with mom.
Mary went to a cafe.,They decided they would go to the park together on Saturday.,Mary and her friend met up at the cafe. They decided to meet up at the park. They went to the park,Mary ran into an ex boyfriend at the cafe.
Ronnie was hanging out with his friends after school.,Ronnie got caught by the cashier and he got in big trouble afterwards.,Ronnie decided to steal money from the store. Ronnie decided to rob the cashier. Ronnie stole money from the cashier,Ronnie and his friends took candy from a store without paying for it.
Gina had checked out a book from the library.,She knew she had to go home and search her house to find it.,Gina's book was missing. She couldn't find it. She looked all over the library,Gina got a late fee on the book.
Lucy's grandma was teaching her to sew.,Lucy finally agreed to start with a pillow.,Lucy's grandma was teaching her to sew. Lucy wanted to try to make a pillow. So she asked her grandma to help,Lucy wanted to try something difficult but her grandma told her to do a pillow.
Julius was tired of waking up to his noisy neighbors.,Julius then decided to move and was happy with the decision.,He decided to move to a new place. He decided to move. he decided to move,Julius began the process of house hunting.
Jason had doubts about starting a new relationship.,When he woke up the next morning he thought an angel was next to him.,Jason went to sleep early. He went to sleep early. he went to bed early,Jason had his new girlfriend stay over one night.
Amy was 19 and she needed a job.,It was further than she liked but Amy was happy to have a job.,Amy got a job at a local fast food joint. Amy was unsure if she wanted a job. Amy was unsure if she wanted one,Amy got a job at the mall.
Nate went to the movies!,But he ate so much he ended up missing the movie!,He was so hungry he didn't feel like going. He decided to go to the movies. So he didn't want to go,Nate went to the buffet beforehand.
Wyman and his family were tent camping.,They saw bear prints around the picnic table.,They heard a noise and went to look. They went to the park. They went to the park,Wyman thought he heard growling coming from the picnic area.
Jerry was always made fun of at work.,He now gets to tell those coworkers what to do.,Jerry decided to change that attitude. Jerry decided to change his attitude. together they talked about things,He decided to put all his energy into getting a promotion.
Jason went to a soup kitchen to get some food.,After eating Jason realized the kitchen does need more cultural.,Jason's food was not good. Jason didn't have a dishwasher. He didn't have a dishwasher,The soup was very bland.
Cody works in retail at Target.,Unfortunately he has to close again tomorrow.,Cody was very rude to the cashier. The cashier was rude to him. Cody was very rude,he talked to his boss about trying to get earlier hours.
Joe tripped carrying a carton of milk.,They seemed grumpy when he wiped up the spill.,Joe spilled his milk on the floor. He spilled his milk on the floor. i rushed to pick up the spilled milk,Joe saw employees looking at him.
Gina was a new girl on a private elite college campus.,She had been pranked as it wasn't a costume party!,A student dressed up as a witch dressed up as a mouse. She was scared to go to the party. She was scared to go,She joioned a serority on campus.
Kelly decided to make some granola homemade.,She saw the oats burned and she immediately shut the oven off.,Kelly forgot to set the timer. Kelly was cooking too long. The oven was on and the food started to smoke,Kelly left the kitchen to go to the bathroom and came back right to the kitchen.
Billy was walking at Central Park.,Billy ended up very wet from his walk at the park.,Billy was walking in the rain. Billy got wet and got soaked. He was walking in the rain,It started raining during Billy's walk.
Lynette hated being the older child.,Lynette still babysits to help the family.,Lynette's parents were not impressed with her. She tried to be a good parent. She tried to be a good parent,Lynette had to babysit her siblings.
My sister was failing her science class at school.,She ended up passing her class with my help!,I hired a tutor to help her. She had to do a lot of homework. So she had to do a lot of homework,I helped my sister study.
Ray was looking for a birthday present for his mom.,Ray's mom was really surprised and happy with the Fitbit Ray bought.,Ray went to the store and bought a new fitness track. Ray wanted to buy a new device.  knew his mom wanted to use it,Ray's mom recently started walking to lose weight.
John was an elementary school student.,John went on to become a famous musician.,John loved school. john decided to go to school. john wanted to be a musician,John was not very good at music in elementary school.
Sally had been out all night.,Finally she made it to her room.,Sally's bed was dirty and smelled awful. She decided to clean it up. So she decided to clean it up,Sally was tipsy and had trouble finding her way.
Todd was excited about being on his junior high basketball team.,Todd eventually dropped from the team mad that he never got to play.,Todd tried out for the team but was cut. So he tried out for the basketball team. So he had to be a little bit older,Todd's coach always sidelined him because he was new on the team.
Tim never smoked before.,He was punished but it was too late.,Tim got caught smoking. He tried smoking one day. So he smoked it anyway,His friend talked him into trying a cigarette and he liked it.
I was at work when it started snowing.,We had a lazy snow day.,I was at work when the snow started. I was told to stay warm. I went outside to shovel the snow,By the afternoon the office was closed on account of the weather.
At the age of 27 I weighed 300 pounds.,After a year I lost 100 lbs and completed a marathon!,I started running when I was a little boy. I started running when I was a little boy. I started running when I was a little boy,I had to diet and exercise or die young.
Ana had been putting off doing laundry.,Ana decided never to wait that long again.,Ana's mom was mad when she found out. Ana had to go to the laundromat. She had to go to the laundromat,Ana had multiple loads to wash.
Wyatt and his friends were in class.,In the end he decided not to and stood up for the girl instead.,The teacher caught Yatt cheating on the class. The teacher caught Yatt cheating on the class. They were trying to get a good grade,Wyatt's friends were making fun of a girl.
Eli was very tired when he got home.,He plopped down in front of the television with a microwave dinner.,Eli decided to go to bed early. He was hungry. So he didn't sleep,Too fatigued to cook Eli warmed up a frozen dinner.
A few years ago everyone around me was learning to skateboard.,I never learned to skate properly.,I fell and broke my leg. I tried to skate in the street.  to skate on the street,I decided to try it but never cared.
I found a trolley part in the garbage near a carhouse.,I went back to the carhouse but found nothing else.,I looked all over the house for the trolley. I found a trolley in the yard. I looked all over for it,I thought there might be more parts around.
Bill decided to go to the gym for exercise.,He stopped along the way to purchase a smoothie.,Bill was running and got a cone. He wanted to get some exercise. He walked around the gym,Bill wanted to eat something before going to the gym.
Rod bought his mom a locket for her birthday.,He gave them to his mom in her new locket.,Rod's mom had a special gift for him. Rod loved his locket.  of the locket,He had photos taken of his children.
Sam loved cooking but her school had no cooking club.,Now Sam cooks helps - and looks great on her college forms!,Sam joined the cooking club. So she decided to join the cooking club. So she decided to join the cooking club,So instead Sam got a job in a restaurant kitchen.
Sam and Tom were fighting over a blanket.,Sam pulled harder and won the fight.,Tom told Sam he was no longer fighting. Sam was determined to win. Sam fought the other man,They were pulling it back and forth.
Ellen dreamed of winning a prize for her roses.,Ellen had to pay a replacement fee for her library card.,The library card she received was expired.  to get the last card.  to get the last card,She decided to go to the library to do some research but could not find her library card.
Dan was not very good at Math.,It was easy for him and he felt much better about his math skills.,Dan studied hard for math. and studied hard for a week. and studied hard for a week,He found a tutor who taught them a different way to think about math.
Only two buses went anywhere near Laura's street.,Laura had to get off and walk two miles home.,The bus driver was very rude to her. i was on the bus. i was on the bus,Laura already missed the two buses.
Dan wanted to find the perfect gift for his mother's birthday.,Dan explained the situation and his mother was not upset.,Dan's mother got angry when he gave the gift to her. Dan did not know what to do. i asked for the gift,He bought her a set of roses but dropped them on his way in to the house.
I always wanted fancy socks.,I loved my new socks.,I finally bought some fancy socks. I went to the mall and saw a pair of fancy socks. i decided to buy some,I bought a pair at the store.
Julian was mad after being fired from a diner.,They knew it was him and banned him.,Julian was rude to a customer. He was rude to a customer. he made a rude comment about the waitress,Julian decided to brake on window and the diner.
Johnny was afraid to hold sparklers.,He hoped he would be brave enough next time.,Johnny's mom made him a homemade firecracker. So he decided to make himself one. So he got a few and started to make them,Johnny declined to hold the sparklers.
Jasmine and her sister live near a wooded area.,Both girls had a great time running around the trees.,They went to the woods to see the trees. They went to the woods. They went to the woods,Jasmine and her sister loved to play in the woods.
We found ants in the water of our Keurig.,They are finally gone although we do not know the reason.,The ants got out of the pond. We had to evacuate our home. i was in the house,We washed our Keurig really well.
James was searching for oil in North Dakota.,James sold the oil for a very nice profit!,James found a well. He went to the store to find the oil. He went to the store to find the oil,James bought land with oil underneath.
The girls in town formed a new soccer team.,Because of their hard work they won their first game.,The girls decided to try out for the school team. They practiced every day. They had a soccer match,The girls practiced many hours a week.
Sarah loved cooking.,Sarah was touched and encouraged to cook more.,Sarah's friend taught her to cook. Sarah's friend taught her to cook. Sarah's friend wanted to help,Sarah's friends loved her food.
Christopher moved to a new part of town because of a new job.,Christopher will keep a map in his car from now on.,The map was showing the wrong directions for the house. He didn't know where to look. He didn't know where to look,He got lost going to the new job.
Ellen dreamed of winning a prize for her roses.,Ellen ended up winning the prize.,Ellen went to the store and bought a bunch of roses. So she decided to enter a contest. So she decided to enter a contest,Ellen took care of her roses very well.
Nick's neighbors played music as loud as they could.,The situation was not resolved but Nick felt better.,Nick was told he was forbidden to play in the house. Nick was caught playing music. i was caught playing music,Nick asked them to turn it down.
Jane loves music.,Jane rushed to the office and was twenty minutes late to the concert.,Jane was so excited to be late to work that she forgot her bus. [SEP]Jane got on the bus and got lost. Jane got lost,Jane had concert tickets she left at work.
Miles decided to join a book club in his town to meet people.,Miles was very happy that he joined the book club.,Miles read a book about a book club. He decided to join the book club. He met a lot of people,Miles made new friends in the club.
Kate was jogging one day.,Then she returned the phone to its grateful owner!,Kate lost her phone. Kate lost her phone. Kate called her friend,Kate found a iphone while jogging.
Freddy was going through sleep paralysis.,His body started moving again.,Freddy decided to start walking again. He was tired and couldn't walk. He had to walk for a few days,He concentrated hard on waking himself up.
Tim was coloring at home.,Tim spent the next day painting the way white.,Tim's friends didn't like the color. Tim painted a picture of a dog. He wanted to paint a picture,Tim was so careful at coloring that his dad led him help paint the walkway.
Gina entered her classroom and went to her desk.,The fact that Tami was still talking to them made Gina uncomfortable.,Tami was talking to her friend Tami. Tami was talking to Gina. i asked for a divorce,She started talking to some friends but a bully named Tami butted in.
Sam went door to door to try to sell magazines.,The old man waved Sam off and told him to go.,Sam asked a salesman for a deal. So he decided to sell them. So a new pair of magazines,Sam tried to persuade an old man to purchase.
Mary-Anne was feeling lonely and decided to adopt a cat.,She decided it was not the right cat.,Mary's cat was very hyper and twitchy. She was afraid of cats. She was afraid of cats,The cat tore up her new couch.
Ralph was a working dog.,They weren't angry anymore when the bomb exploded up ahead.,Ralph was attacked by a bomb. The bomb went off. and the bomb went off,Ralph searched for the bomb restless but couldn't find.
Shannon had been coughing every morning for weeks.,After three weeks of electronic cigarettes her cough subsided.,Shannon quit smoking. She started using the electronic cigarettes. She was sick so she stopped,Shannon was smoking cigarettes a lot.
Kelly and her friends went to a new ice cream shop.,Kelly was glad she tried new flavors.,Kelly liked the ice cream. Kelly ordered a new kind of ice cream. Kelly wanted to try a new flavor,Kelly decided to get something other than her usual flavor.
Joe was helping his dad clear the woods in the back of their yard.,Joe was angry he got hurt.,Joe's dad saw the firework on the ground. He was upset that the firework fell down. he was angry that the firework was lit,Joe fell over a log and hurt himself.
Kelly and her friends went to a new ice cream shop.,She threw up.,Kelly's ice cream was not fresh. Kelly ate a lot of ice cream. Kelly ate all the ice cream,Kelly tried blueberry without knowing she was allergic to the dye.
Mary had been dying to see her favorite band.,When they got there Mary realized she left the tickets at home.,Mary's favorite band was playing in town. she wanted to go to the concert. she bought the tickets,Mary was very excited.
I loved smoked salmon.,I contracted a bacterial infection from the smoked salmon.,I decided to try salmon. I was unsure if the fish would taste good. I tried salmon,I bought some smoked salmon from a very sketchy seller.
Han liked nature.,And Han enjoyed watering and taking care of his neighbor's plants.,Han's neighbor plants some flowers. Han decided to plant some flowers. Han's neighbor wanted to plant some flowers,he often loved walking through the forest near the park and going on walking trails.
When I was sixteen I learned to drive.,My dad then took me to get my license.,I practiced driving every day. I practiced driving every day. I wanted to learn how to drive,My Mother taught me all the finer points.
Ky was a little chubby and wanted to lose 20 pounds before summer.,And by summer she had lost the other ten!,She started a diet and exercise program. She worked out every day. So she started a gym,She started exercising and lost 10 lbs in a few eeeks.
Jake was biking at the park.,He put his dirty clothes into a plastic bag.,Jake tripped and fell. He tripped over a rock. He fell off the bike,He biked through some mud puddles.
Joe needed a new desk.,Joe regretted his decision when the desk broke after two days.,Joe decided to buy a new desk. he couldn't afford a new one. he couldn't afford a new one,Joe went to the goodwill to get him a new desk.
Joe was having a terrible time camping.,But he couldn't find his car keys.,Joe was so hungry that he could not sleep. He couldn't find his keys. So he went to the store,Joe had a flat tire in the wild.
Laura decided to fly all the way to New York City.,Laura wore a hat all week to hide her hair.,Laura decided to go to New York City. she went to New York to see the sights. she decided to go to New York,When Laura got there she realized she forgot shampoo.
Nate began writing stories for a few cents.,He was just writing to help scientific research.,Nate wanted to be a scientist. he wanted to be a scientist. he wrote a story about a scientist,He was getting paid close to nothing.
I adopted a puppy.,The carrots worked perfectly!,I bought carrots from the store. I went to the store to buy carrots. I wanted carrots,I needed something for him to chew on.
We went on our first diving trip on Tuesday.,We decided we went on our last diving trip on Tuesday.,We had a great time diving. i was scared of diving. i had never been on a diving trip,We were almost eaten by a shark.
Jimmy grew up very poor.,Jimmy called his parents and cursed at them.,Jimmy's parents were not happy with his son. he was poor. So Jimmy got into a bad car accident,So he dropped out of school. And left home.
Sam's neck had been hurting recently.,His neck no longer hurt with the added support.,Sam bought a special pillow for his neck. He was worried about the pain. He had to get a new pillow,Sam got a neck brace from his father.
Our friend owns a restaurant.,The employee was not impressed.,The restaurant was slow. The restaurant was a slow eater. The restaurant was a little out of the way,Our friend kept the restaurant open after hours.
Elle's chorus was having a bake sale to raise money for new robes.,The chorus had raised nearly half of what they needed in one day!,The local church choir sang a new song. So the church asked for a raise. The church choir played a local church concert,Elles chorus really wanted new robes.
Jim is shocked when he gets an amazing deal on a house.,Jim withdraws his offer and fires his real estate agent.,Jim realized the realtor was selling houses. Jim was not sure what to make. to sell his house,he was being told a lie about the damage and forclouser.
Amy loved salad.,Amy loved the salad so much she returned with friends.,Amy made a salad for her friends. Amy's friends loved the salad. Amy made a salad for her friends,She tried a Thai salad at a new restaurant.
Fred is looking for ways to make his apartment feel more comfortable.,He feels happy that he has improved how his apartment feels.,Fred decided to make his apartment more comfortable. he decided to make it more comfortable. he decided to make it more comfortable,Fred went to the store to get some new pictures.
Neil was touring haunted cities.,He definitely thought Erie was haunted!,Neil went to a haunted house. Neil was scared by a ghost. Neil was scared by a scary ghost,He didn't believe in ghosts till he saw one in Erie.
Jim had a dog whom he loved very much.,At last she was clean and he promised never to let her be hurt again.,Jim's dog got into a fight with another dog. i was worried about her. i was worried about her,One day Jim's dog ran ahead during a walk and got stuck in a mud pit.
Jill was a very fashion conscious young girl.,The drawing was so good she was able to make a pattern out of it.,Jill drew a beautiful face. Jill wanted to be a model. So she decided to make herself a new dress,Jill showed her mom a picture of a dress she drew.
One day Jordan had a friend over so they could play video games.,Now when Jordan has a friend over he makes sure they both play.,Jordan's friend was very hyper. They played a game together. They played a game together,Jordan's friend got bored when Jordan kept playing alone.
Neil was visiting Romania.,Neil decided to never return to Transylvania.,Neil was in a bad part of the country. Neil hated the country. Neil hated the culture,Neil's hotel was very dirty and unfriendly.
A man went out early one morning.,He resolved next time to check the day's overall forecast.,The forecast called for rain. The man was worried about the storm. The man was worried about the storm,It started raining on the man.
Joe went to the restaurant for wings.,Joe got to finally enjoy his wings.,Joe's flight was delayed due to weather. Joe had to wait for his flight. i had to rush to get there,Joe got lost on the way to the restaurant and it took him really long to find it.
Emily had a paper due for class.,The next day Emily's paper was not done.,Emily worked all day to finish her paper. Emily worked all day. Emily worked all day,Emily planned to pull an all-nighter but fell asleep.
Tim had a problem.,He was so amazed at the sight that he was no longer scared.,Tim decided to take a trip to the local zoo. He saw a lot of animals. So he decided to take a trip to the zoo,Tim was scared to go to the new school.
Nina was at the skating rink.,Luckily the girl left.,A girl was skating on top of a girl. A girl slipped and fell. She was trying to skate,Her biggest rival tried to start a fight.
Jimmy needed a new pair of pants.,Jimmy bought the pants he wanted.,Jimmy went to the store and found a great deal. He wanted to buy a new pair. So he went to the store,Jimmy had a jar of coins he saved for years.
Nancy was looking for a place to eat.,They looked at her with a mean grin.,Nancy was looking for a place to eat. Nancy was looking for a place to eat. So she decided to walk down the street,The only available table was full of Nancy's enemies.
Andy always helped his Dad plant trees.,The tree reminds Andy of his Dad.,Andy's dad always helped him. Andy's dad always planted a tree. So he decided to plant a tree,Andy planted a tree.
Tina and Mark were looking for a new house.,I feel sorry for the builder they hired!,Tina and Mark did not find a house they liked. I asked the builder to come in. I asked the builder to come in,Tina and Mark had many wild ideas so the decided to build a house.
Tim had a pet frog.,Tim buried his frog that day.,Tim's frog got hit by a car. He was in a hurry to get there. He was in a hurry to get there,Unfortunately Tim's frog passed away.
Chad's stomach began to rumble.,Chad ate it all and got sick.,Chad's stomach ached so much that he couldn't eat anything. He ate a lot of food. So he ate a lot of food,He had only just started eating his food.
Briana was at the lake with her friend's family.,Luckily the next day they found cell service nearby.,Briana and her friend lost their phone. They couldn't find their phone. They couldn't find their phone,Briana couldn't call anyone.
My parents enjoy going to the casino.,Ever since I leave the gambling to my parents.,I always lose money at the casino. I always gamble at the same time every day. I always gamble at the same time every day,I lost lots of money gambling.
A friend and I were walking through a wooded area.,I threw it back down and we ran away.,I saw a snake and threw it away. I saw a snake in the bushes. I threw a rock,We picked up a snake because we thought it was a stick.
Michael ordered a pepperoni pizza.,While on the phone his wife said that he opened the box backwards.,Michael's wife was excited to see the pizza. i was excited to get the pizza. i was excited to get the pizza,Michael accepted the pizza when it arrived.
Jimmy grew up very poor.,So he repaid them for college.,Jimmy's parents loaned him money. He wanted to go to college. So he worked hard and saved his money,He took out a loan for school.
Will was driving to his college.,The person threw food and trash at Will's car.,Will was driving to his college. Will's car was in a ditch. Will was driving to his college,Will double parked at his college.
A caterpillar was crawling along a wall.,He placed the caterpillar on a nearby tree.,The caterpillar crawled up and down. The caterpillar was very tall. So he put a caterpillar in the tree,A man found the caterpillar.
I drove my motorcycle across the street.,I cleaned my motorcycle after I got home.,I was speeding and hit a car. I was driving too fast. I was in a hurry,The tree i parked under dripped sap on it.
Kim got a bike for her birthday.,To her horror her bike was gone and the chain was on the gate.,Kim's bike was stolen. She tried to fix it. She had a chain on her bike,Kim forgot to lock her new bike up to a gate at school.
I found my old yearbook today while cleaning.,The day was almost over and I hadn't cleaned anything.,I decided to look through my old yearbook. I didn't want to clean. I looked through my old yearbook,I became lost in a huge world of fond memories.
Michelle had a huge stack of books.,Then she went home.,Michelle went to the library. Michelle decided to read all of the books. Michelle decided to read all of them,She decided to donate them to the library.
Kelly decided to have a golf tournament with her friend.,Kelly couldn't wait to beat her again.,Kelly played really well. Kelly practiced a lot. So she had a good time,Kelly lead the entire competition.
Harry was making some spaghetti.,A few minutes later they saw that the colander had melted.,Harry put the colander in the microwave. The colander melted. He put the colander in the microwave,Henry failed at it.
Gina had a crush on Jamie and Josh.,Gina wasn't sure if it was good advice or sabotage.,Jamie and Josh were in love and wanted Gina to trust them. he was trying to sabotage. he wanted to get Gina's boyfriend,Gina's friend said she should talk to both.
Jason was the second string quarterback at his school.,The coach decided to replace the star quarterback with Jason.,Jason broke his leg. he was injured during the game. on the field during a game,Jason made a great play.
I only intended to work at my aunt's dentistry office for a summer.,Now I am a dentist working in her office.,I was offered a job at the local supermarket. I was scared to work there. I was scared to work there,I fell in love with the field over time.
Mitch wanted to learn how to play the piano.,After 3 months Mitch was able to afford his piano lessons!,Mitch took piano lessons. So he took piano lessons. So he decided to buy a piano,Mitch took a part time job after school.
Gina's family stopped for gas on a road trip.,She exited the car and walked across the cold parking lot.,Gina saw a man with a gun. Gina was worried about the man. Gina saw a man in a hood,she decided to stretch her legs and get some fresh air.
Neil was visiting Romania.,Neil enjoyed visiting Transylvania.,Neil loved the culture and visited many new places. Neil went to the city of Bucharest. Neil visited the city of Bucharest,The hotel and its staff where the extremely friendly and help.
Jim was extremely bored on Sunday.,He decided to got to the Star Trek convention.,Jim wanted to go to the Star Wars convention. He decided to go to the Star Wars convention. So he decided to go to the Star Wars convention,He had heard about some local events.
Louise had a pop quiz in science class.,She got a bad grade on it.,The quiz was very hard. She had to do a lot of homework. She had a hard time understanding the answers,Louise did not have time to study.
My son was a painter.,My son was happy and our relationship grew stronger.,My son and I decided to work with him. I asked my son to paint a picture. I wanted to ask him to paint,My son painted the house for free.
Maria went swimming into in the ocean.,Neal dived in the water to get her.,Maria was scared of the waves. Maria got in a big waves. She was scared by a big wave,Maria went in too far and needed help.
Karen Ashley and Beth were very excited.,When Mommy came home she was sure to be very surprised!,Ashley and Beth went to the store to buy some new clothes. So they decided to go to the store. Soley and Beth decided to go shopping,Karen Ashley and Beth made their mom a cake.
When I was sixteen I learned to drive.,After that mistake I became much more cautious.,I was almost hit by a car. I had never driven before. I had never driven before,I wasn't paying attention and I got into an accident.
Amanda recently took a trip to the zoo.,Amanda really enjoyed the zoo but she will never forget the anaconda.,Amanda went to the zoo and saw many animals. Amanda went to the zoo. Amanda went to the zoo,Amanda saw everything there.
Gina's friends all had Lisa Frank Trapper Keepers.,She didn't want to ruin the design so she didn't use the pencils.,Lisa Frank was going to make a dresser for her. she wanted to make something for her birthday. So she made a dresser for herself,After school Gina's dad surprised her with one too.
Randy was very shy and never talked much at school.,Frank and Randy became good friends through their shyness.,Randy was shy until he met a new friend. and asked a boy out. and asked him out,Frank was also very shy.
Jennifer was trying to get some lunch.,Unfortunately almost everything was already gone.,Jennifer left her lunch at home. She went to the store and bought a lot of food. So she went to the store,She was running late from class.
Kathy was driving her car on the highway.,She wondered after that if it was worth swerving in the first place.,A deer ran into her car. She was driving and got a flat tire. She was driving and knew how to fix it,The next car hit and killed the animal Kathy avoided.
Sam couldn't wait to show off his science fair project at school.,They were a very attentive audience!,Sam and his classmates worked hard on the project. So they had a science fair. So they had to make a project,He made a presentation.
Don was always moving slow.,He never walked slowly again.,Don was running in the park and got hit by a car. Don was speeding and got pulled over. Don was speeding and got pulled over,Someone ran into Don from behind.
Dan was working diligently at his desk.,He thanked her and was happy to have found his lost appliance.,Dan's wife accidentally left the kitchen unattended. He decided to look for an appliance. he found an old appliance,A lady approached Dan and asked if this was his PDA. It was.
When my daughter was 8 months old we put her into a walker.,She cried for awhile but recovered quickly.,The walker cut off her toes and got sick. she fell and broke her toe. she fell off the walker,Sometimes she would fall down.
Alex's phone got dropped in the toilet and died.,Finally she settled on the new iPhone and purchased it.,Alex was very excited about her new phone. She wanted to buy it. She looked for a new one,so she went to the mall to find a new one.
Jordan and Alex were on a camping trip.,Then she bought them a new tent.,Jordan and Alex were camping with a friend. They decided to get a new tent. They didn't have any money,Jordan and Alex's tent was hit and a hole was created.
Tim had just learned how to used the telephone at home.,Tim already went back to playing with his toys as his mother returned.,Timmy's mother was getting tired of using the phone. she wanted to get rid of him. she bought him a new phone,Tim's mom told him never to use the phone without her.
Kim's mother tricked her into eating deer meat.,Kim continued to yell as her mother walked out of the room.,Kim's mother was hunting for her. Kim wanted to get her mother some meat. Kim wanted to get her mother some meat,Kim hated eating animals.
Tracy had a crush on a boy.,Tracy became embarrassed because she looked silly in many of them.,Tracy's crush was always around. Tracy's crush was always around. Tracy was always in the same room with her crush,The boy knew it and looked up pictures of Tracy on her Facebook page.
Ted loves to go to the movies.,Ted continues to watch several movies a week.,Ted loves to see the movies. Ted has a lot of fun at the movies. Ted goes to the movies every day,Watching movies gave Ted a lot of ideas of writing.
It was the summer break.,It was the first time Gina had been to that part of town.,Gina went to the park. Gina went to the park. Gina had a blast,Gina and her friends decided to explore the city.
Jack loves walking to the Marathon.,Shortly after arriving the rain stopped and they walked home.,Jack got out of the car and went for a walk. he ran into a car. On the way to the race he fell off the side of the road,It started raining while he was walking.
I stopped my car at the traffic light.,Alas he crashed his car and I realized street racing is bad.,I tried to stop the car and he was still at the light. I tried to stop the car. I had to turn on the light,Another car gave me a street racing signal.
Early one morning I could hear my dogs.,They almost knocked me over on the way out just to chase a cat!,I went to chase a cat. I heard a loud noise. I ran out to chase a cat,There was an orange cat at the back door.
The pilot felt a shake in the plane.,He tried to fix it but in the end he hand to eject.,The plane began to shake violently. The pilot tried to start it up again. i tried to start it up again,The plane kept moving around.
